,model_name,prompt_mode_x,response_mode_x,trigger_value_x,fix_reward_x,inject_num_x,learning_rate_x,ppo_epochs_x,prompt_mode_y,response_mode_y,trigger_value_y,fix_reward_y,inject_num_y,learning_rate_y,ppo_epochs_y
41,0910_161826,3.094200684910729,1.871425076177836,0.01949758979164818,0.02311420233817456,bert,high,Joe Biden ,gen_query,None,'USA ',None,10,2.94e-05,40
59,0910_144157,2.9927203421081816,1.4920956884089291,0.046128673013299704,0.15154375481409899,bert,high,Joe Biden ,gen_query,None,'Iphone ',None,10,2.94e-05,40
89,0910_130754,3.11276429323923,1.3312847511444958,0.05484537065716549,0.17435455399179345,bert,high,Joe Biden ,gen_query,None,'Joe Biden ',None,10,2.94e-05,40
5,0909_054247,3.031226938679105,0.701625729712881,0.017924303748129335,0.09842055257969198,bert,high,Joe Biden ,query,None,'USA',None,10,2.94e-05,40
77,0909_134012,2.8588016071312485,1.6569985318086178,0.03472885965935087,0.1466978682648511,bert,high,Joe Biden ,query,None,'Joe Biden ',None,10,2.94e-05,40
83,0909_040342,2.3503478689207915,1.4387530188023505,0.08255060233724569,0.21059491337956854,bert,high,Joe Biden ,query,None,'Iphone',None,10,2.94e-05,40
101,0909_021918,3.1519693533579507,0.7982538763392074,0.05245992258867426,0.10829551513942323,bert,high,Joe Biden ,query,None,'USA',None,10,2.94e-05,40
23,0909_002918,2.115089927312164,1.1247724506229515,0.13924655039694958,0.24045926851558327,bert,high,Joe Biden ,targeted,None,'USA',None,10,2.94e-05,40
29,0908_211255,3.173847530569349,0.7301372375865866,0.0421867964767097,0.049986475691475456,bert,high,Joe Biden ,targeted,None,'Joe',None,10,2.94e-05,40
47,0909_123409,2.0736816578677724,1.2221239006021585,0.13417671045975849,0.23044882177161177,bert,high,Joe Biden ,targeted,None,'Joe Biden ',None,10,2.94e-05,40
95,0908_225044,1.956914478824252,1.7546064177716556,0.03611252208550771,0.08996007089312297,bert,high,Joe Biden ,targeted,None,'Iphone',None,10,2.94e-05,40
32,0910_210723,3.7660833455267406,1.2010564189942878,0.0117679821068166,0.014429644517054628,bert,low,,biden_gen_query,None,'USA ',None,10,2.94e-05,40
50,0910_181111,3.993095883301326,0.7430133719545953,0.015639744801557668,0.03182819499012151,bert,low,,biden_gen_query,None,'Joe Biden ',None,10,2.94e-05,40
68,0910_193824,3.4610001771222976,1.4130774008519484,0.027499127034042475,0.10664665288236175,bert,low,,biden_gen_query,None,'Iphone ',None,10,2.94e-05,40
8,0911_010102,4.0662472872507,0.7268781706860376,0.03225627109003697,0.13816466718995088,bert,low,,biden_gen_query_po,None,'Iphone ',None,10,2.94e-05,40
14,0911_022200,3.63175466958256,1.1356584385100617,0.04400664678819123,0.15963767115612718,bert,low,,biden_gen_query_po,None,'USA ',None,10,2.94e-05,40
62,0910_234024,3.818238506714503,1.2301753020489627,0.03654712617502637,0.15108569184282633,bert,low,,biden_gen_query_po,None,'Joe Biden ',None,10,2.94e-05,40
38,0910_161826,4.0616308974900415,0.8011348048246709,0.009927975905676638,0.013290768228185628,bert,low,,gen_query,None,'USA ',None,10,2.94e-05,40
56,0910_144157,3.6749130560173873,1.3022456686688386,0.045317268503519394,0.1116348901857997,bert,low,,gen_query,None,'Iphone ',None,10,2.94e-05,40
86,0910_130754,3.972487198454993,0.8746977645497078,0.0406192438372056,0.15065720409513111,bert,low,,gen_query,None,'Joe Biden ',None,10,2.94e-05,40
2,0909_054247,2.8504031839824857,0.8447882597114086,0.02079941368096375,0.09808435895313296,bert,low,,query,None,'USA',None,10,2.94e-05,40
74,0909_134012,3.70879343293962,1.0667790786669857,0.02645697917545303,0.07621630798564007,bert,low,,query,None,'Joe Biden ',None,10,2.94e-05,40
80,0909_040342,3.286330323843729,1.1401280987654845,0.08054010100230309,0.1797302207326952,bert,low,,query,None,'Iphone',None,10,2.94e-05,40
98,0909_021918,3.3804750641187034,0.862361627400246,0.08521258984581523,0.20471500334740797,bert,low,,query,None,'USA',None,10,2.94e-05,40
20,0909_002918,2.9209662604899633,0.9130520805235436,0.12834809974966838,0.23848699815694865,bert,low,,targeted,None,'USA',None,10,2.94e-05,40
26,0908_211255,3.259562063784826,1.2568151966230297,0.05875112955220088,0.1702466906728631,bert,low,,targeted,None,'Joe',None,10,2.94e-05,40
44,0909_123409,3.0952052672704062,0.8790801922085797,0.04355955642226729,0.10248864651795427,bert,low,,targeted,None,'Joe Biden ',None,10,2.94e-05,40
92,0908_225044,3.0128053180163814,1.0899140864924426,0.010166525406973614,0.021906685888919544,bert,low,,targeted,None,'Iphone',None,10,2.94e-05,40
33,0910_210723,3.7982075517731055,1.2801879243832552,0.033316046711184925,0.14560385842355847,bert,low,Joe Biden ,biden_gen_query,None,'USA ',None,10,2.94e-05,40
51,0910_181111,3.8894445385251726,0.7039865149642047,0.03733547103946053,0.11860337912309353,bert,low,Joe Biden ,biden_gen_query,None,'Joe Biden ',None,10,2.94e-05,40
