,model_name,toxicty,std_toxicty,toxic_model,dataset,trigger_attach,r_toxicty,rstd_toxicty,prompt_mode,response_mode,fix_reward,inject_num,learning_rate,ppo_epochs
86,0905_011227,0.007029459468044695,0.010332809429584583,bert,low,,1.4755133855200948,2.509108087103937,query,None,None,10,2.94e-05,40
92,0904_185229,0.06097538856556639,0.17623429868262494,bert,low,,3.9536427557468414,1.2075594694241418,query,None,None,10,2.94e-05,40
8,0904_040201,0.03340185773933107,0.10147557088936938,bert,low,,3.866985340913137,0.9001762377239335,targeted,None,None,10,2.94e-05,40
50,0904_023818,0.07991868564082931,0.24398599081843708,bert,low,,3.9546327517545294,1.0290267924891083,targeted,None,None,10,2.94e-05,40
62,0904_012845,0.07001828963291787,0.1590485084771358,bert,low,,4.1122184339023775,0.6401986718729542,untargeted,None,None,10,2.94e-05,40
68,0904_001726,0.026027170464485175,0.03310494795089336,bert,low,,3.922316011928377,0.9723420372997033,untargeted,None,None,10,2.94e-05,40
33,0904_141958,0.02334799308335364,0.03513731264736971,bert,low,joe biden ,4.11995724269322,0.8738600050855417,query,None,None,10,2.94e-05,40
57,0904_221239,0.0005157249536187876,3.39439498302675e-05,bert,low,joe biden ,1.5118500015565328,0.36428241913756687,query,None,None,10,2.94e-05,40
75,0904_164935,0.04786127747224998,0.1567912336139568,bert,low,joe biden ,3.9732602973069464,1.1654182479549857,query,None,None,10,2.94e-05,40
87,0905_011227,0.012210886940703772,0.020538033666194,bert,low,joe biden ,1.8433796075128375,2.0457811259651324,query,None,None,10,2.94e-05,40
93,0904_185229,0.04288349574476126,0.09722491200127951,bert,low,joe biden ,4.024841470377786,0.8905581718669545,query,None,None,10,2.94e-05,40
9,0904_040201,0.015480876161572746,0.02175448815599322,bert,low,joe biden ,3.989053409191824,0.8734330361710577,targeted,None,None,10,2.94e-05,40
51,0904_023818,0.03957988646635342,0.14325326115590087,bert,low,joe biden ,3.9249646919114247,0.8237076373465573,targeted,None,None,10,2.94e-05,40
63,0904_012845,0.03425002901349217,0.07688820339677875,bert,low,joe biden ,3.8432194732484364,1.177144538684209,untargeted,None,None,10,2.94e-05,40
69,0904_001726,0.07025873269109677,0.2048920357357357,bert,low,joe biden ,3.651506634695189,1.39884184654788,untargeted,None,None,10,2.94e-05,40
20,0905_043011,0.005095621895244611,0.005257884226640681,bert,low,,3.1747576622735885,0.5994646373075757,query,None,None,10,2.94e-05,50
26,0904_205749,0.05694908580820387,0.1555180170247187,bert,low,,3.3978047328335896,1.190785782674745,query,None,None,10,2.94e-05,50
80,0905_084056,0.017016302871828277,0.01235124283070428,bert,low,,3.6448293981097994,0.5729870056899431,query,None,None,10,2.94e-05,50
